"selection1_name","selection1_selection2"
"1984 (Deluxe Hardbound Edition)","4.5 out of 5 stars"
"Buddha at Work: Finding Balance, Purpose and Happiness at Your Workplace","4.5 out of 5 stars"
"My First Library: Boxset of 10 Board Books for Kids","4.5 out of 5 stars"
"World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set","4.5 out of 5 stars"
"Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book)","4.6 out of 5 stars"
"World's Greatest Leaders: Biographies of Inspirational Personalities For Kids","4.3 out of 5 stars"
"A Man Called Ove: The life-affirming bestseller that will brighten your day","4.6 out of 5 stars"
"Ikigai: The Japanese secret to a long and happy life","4.6 out of 5 stars"
"One Arranged Murder","4.3 out of 5 stars"
"The Archer","4.3 out of 5 stars"
"The Maharaja of Mastipur & The Palace of Pranks","5.0 out of 5 stars"
"Because Life is a Gift: Stories of Hope, Courage and Perseverance","4.4 out of 5 stars"
"Sapiens: A Brief History of Humankind","4.7 out of 5 stars"
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids","4.2 out of 5 stars"
"Death; An Inside Story: A book for all those who shall die","4.7 out of 5 stars"
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for children of all ages by Sudha Murty","4.6 out of 5 stars"
"A Gentleman in Moscow: The worldwide bestseller","4.5 out of 5 stars"
"Unfinished: A Memoir","4.4 out of 5 stars"
"The Richest Man in Babylon","4.4 out of 5 stars"
"As a Man Thinketh","4.4 out of 5 stars"
"Who Will Cry When You Die?","4.5 out of 5 stars"
"Maybe You Should Talk To Someone","4.6 out of 5 stars"
"The Girl on the Train: The multi-million-copy global phenomenon","4.1 out of 5 stars"
"International Mathematics (International Baccalaureate Program) for Grade 1 by Pearson","5.0 out of 5 stars"
"Think Like a Monk: The secret of how to harness the power of positivity and be happy now","4.7 out of 5 stars"
"The Intelligent Investor (English) Paperback – 2013","4.5 out of 5 stars"
"NCERT Books Set for Class 9 (English Medium) Set of 8 books Paperback 1 January 2020 Paperback – 1 January 2021",""
"The Psychology of Money","4.5 out of 5 stars"
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life","4.6 out of 5 stars"
"My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing)","4.5 out of 5 stars"
"Chikitsa Guide For General Medical Practitioners","4.0 out of 5 stars"
"PERFECTION BOOK - ENGLISH WITH NIMISHA BANSAL","5.0 out of 5 stars"
"Wildpaper - Mammas In The Wild Board Book | Hard Bound | For kids",""
"The Curse To Ashwathama","4.0 out of 5 stars"
